,SF,Char,Byte,AirTime,PointSize,MultiVal
0,7,20,10,61,70,5
1,8,20,10,113,80,5
2,9,20,10,205,90,5
3,10,20,10,370,100,5
4,11,20,10,823,110,5
5,12,20,10,1482,120,5
6,7,22,11,61,70,5
7,8,22,11,113,80,5
8,9,22,11,205,90,5
9,10,22,11,370,100,5
10,11,22,11,823,110,5
11,12,22,11,1482,120,5
12,7,24,12,61,70,5
13,8,24,12,113,80,5
14,9,24,12,205,90,5
15,10,24,12,411,100,5
16,11,24,12,823,110,5
17,12,24,12,1482,120,5
18,7,26,13,61,70,5
19,8,26,13,113,80,5
20,9,26,13,205,90,5
21,10,26,13,411,100,5
22,11,26,13,823,110,5
23,12,26,13,1646,120,5
24,7,28,14,66,70,5
25,8,28,14,123,80,5
26,9,28,14,226,90,5
27,10,28,14,411,100,5
28,11,28,14,823,110,5
29,12,28,14,1646,120,5
30,7,30,15,66,70,5
31,8,30,15,123,80,5
32,9,30,15,226,90,5
33,10,30,15,411,100,5
34,11,30,15,905,110,5
35,12,30,15,1646,120,5
36,7,32,16,66,70,5
37,8,32,16,123,80,5
38,9,32,16,226,90,5
39,10,32,16,411,100,5
40,11,32,16,905,110,5
41,12,32,16,1646,120,5
42,7,34,17,71,70,5
43,8,34,17,123,80,5
44,9,34,17,226,90,5
45,10,34,17,452,100,5
46,11,34,17,905,110,5
47,12,34,17,1646,120,5
48,7,36,18,71,70,5
49,8,36,18,133,80,5
50,9,36,18,246,90,5
51,10,36,18,452,100,5
52,11,36,18,905,110,5
53,12,36,18,1810,120,5
54,7,38,19,71,70,5
55,8,38,19,133,80,5
56,9,38,19,246,90,5
57,10,38,19,452,100,5
58,11,38,19,987,110,5
59,12,38,19,1810,120,5
60,7,40,20,71,70,5
61,8,40,20,133,80,5
62,9,40,20,246,90,5
63,10,40,20,452,100,5
64,11,40,20,987,110,5
65,12,40,20,1810,120,5
66,7,42,21,77,70,5
67,8,42,21,133,80,5
68,9,42,21,246,90,5
